City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Yulara,AU,-25.2406,130.9889,77.0,23,0,16.11,clear sky
258,Lagoa,PT,39.05,-27.9833,60.04,94,100,18.92,overcast clouds
259,Mayo,US,38.8876,-76.5119,59.0,94,90,6.91,moderate rain
260,Akdepe,TM,42.0551,59.3788,64.4,24,0,18.41,clear sky
261,Zhigansk,RU,66.7697,123.3711,16.41,80,3,17.94,clear sky
262,Muros,ES,42.7762,-9.0603,50.0,78,40,4.0,scattered clouds
263,The Valley,AI,18.217,-63.0578,75.99,69,40,5.75,scattered clouds
264,Utinga,BR,-5.8172,-35.3954,75.2,100,40,4.61,light rain
265,Lensk,RU,60.7253,114.9278,20.34,67,100,10.2,overcast clouds
266,Seoul,KR,37.5683,126.9778,71.6,21,0,3.44,clear sky
267,Beloha,MG,-25.1667,45.05,79.23,66,12,11.03,few clouds
268,Gigmoto,PH,13.7796,124.39,83.68,66,75,7.65,broken clouds
269,Fengzhen,CN,40.4394,113.1536,47.01,76,100,5.48,overcast clouds
270,Kapit,MY,2.0167,112.9333,89.15,58,95,2.71,overcast clouds
271,Codrington,AU,-38.2667,141.9667,54.81,64,100,17.18,overcast clouds
272,Ilulissat,GL,69.2167,-51.1,17.6,79,20,6.67,few clouds
273,Verkhnyaya Sinyachikha,RU,57.976,61.6673,51.46,73,100,9.86,overcast clouds
274,Dingtao,CN,35.0683,115.5625,64.27,51,99,7.45,light rain
275,Belize,BZ,17.25,-88.75,82.0,82,75,9.22,broken clouds
276,Port Augusta,AU,-32.5,137.7667,66.99,52,90,17.27,overcast clouds
277,Muisne,EC,0.6,-80.0333,77.0,85,84,2.01,broken clouds
278,Iqaluit,CA,63.7506,-68.5145,21.2,86,75,23.02,snow
279,Cranendonck,NL,51.2775,5.5837,37.99,93,90,5.75,overcast clouds
280,Furano,JP,43.2818,142.4743,51.8,43,20,9.22,few clouds
281,Cockburn Town,TC,21.4612,-71.1419,74.98,62,50,15.03,scattered clouds
282,Estevan,CA,49.1334,-102.9842,48.2,34,75,18.41,broken clouds
283,Launceston,AU,-41.45,147.1667,55.99,47,59,21.85,broken clouds
284,Izumo,JP,35.3667,132.7667,64.4,42,20,13.8,few clouds
285,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.4,71,40,17.27,scattered clouds
286,Bairiki,KI,1.3292,172.9752,82.4,78,75,4.61,broken clouds
287,Iralaya,HN,15.0,-83.2333,79.66,83,97,10.76,overcast clouds
288,Bhadrachalam,IN,17.6667,80.8833,99.18,31,7,3.96,clear sky
289,Perth,AU,-31.9333,115.8333,70.0,73,75,18.41,broken clouds
290,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,54,0,20.71,clear sky
291,Nova Olinda Do Norte,BR,-3.8881,-59.0942,73.17,98,99,2.39,heavy intensity rain
292,Roura,GF,4.7263,-52.3274,73.99,100,90,1.77,fog
293,Ribeira Grande,PT,38.5167,-28.7,62.42,85,95,13.6,overcast clouds
294,Visby,SE,57.6409,18.296,37.4,81,20,5.75,few clouds
295,Gergebil,RU,42.5047,47.0661,51.8,71,38,4.47,scattered clouds
296,Algeciras,ES,36.1333,-5.4505,57.2,94,40,3.44,scattered clouds
297,Caravelas,BR,-17.7125,-39.2481,72.9,85,28,3.29,scattered clouds
298,Calabozo,VE,8.9242,-67.4293,78.8,68,99,2.28,overcast clouds
299,Saint-Louis,SN,16.3333,-15.0,77.11,27,38,9.93,scattered clouds
300,Bathsheba,BB,13.2167,-59.5167,78.8,65,100,13.8,volcanic ash
301,Rognan,NO,67.0953,15.3878,36.0,94,100,3.0,snow
302,Coshocton,US,40.272,-81.8596,61.0,91,100,1.99,overcast clouds
